"","Ags","BC","BCS","Camp","CDMX","Chih","Chis","Coah","Col","Dgo","EdoMex","Gro","Gto","Hgo","Jal","Mich","Mor","Nay","NL","Oax","Pue","Qro","QRoo","Sin","SLP","Son","Tab","Tamps","Tlax","Ver","Yuc","Zac","TotalGrupo"
"0 a 9",254264,601499,138981,179304,1053383,646096,1253388,592540,135183,342457,2811171,701088,1135945,539034,1459515,908919,337625,236726,915056,749820,1201859,395568,301519,517120,496119,512055,465480,626528,242803,1425518,357198,315672,21849433
"10 a 19",267198,618628,134038,170948,1223104,673977,1137019,557579,132085,344720,2940835,703453,1132514,549688,1482652,873659,341044,229103,936800,767134,1222401,398723,294850,548189,517191,532106,451663,627627,248244,1444735,378340,305120,22185367
"20 a 29",255171,636639,139570,173903,1428068,639616,978590,530330,132825,314805,2944549,618123,1074842,499527,1437751,798393,341554,212631,958993,677712,1139146,406079,321631,530683,480744,516498,430718,586090,236905,1374932,391899,270601,21479518
"30 a 39",211488,566740,129534,156950,1428618,551495,799254,457783,120980,262963,2672731,493958,919504,443049,1255497,682401,298972,186211,851698,573109,949318,358624,292603,451998,404458,456064,393055,523317,206268,1217974,350624,230732,18897970
"40 a 49",174364,483714,108749,125576,1315823,485399,622473,410196,101111,223672,2339433,403407,760277,388361,1048312,563424,255695,158157,749877,484048,786129,290737,227959,401762,347502,396824,329124,480917,172305,1073753,292020,197807,16198907
"50 a 59",132779,368569,78437,92716,1124306,389342,451377,323693,77573,176724,1826958,323755,570457,307436,802835,444536,210377,122219,582830,387220,601191,211934,153968,326214,278511,312656,244424,384381,131422,901136,223857,156504,12720337
"60 a 69",81759,217751,45109,58227,797203,242011,279345,202273,49446,113933,1125355,224742,359060,201555,519077,300490,143178,79148,356931,266997,390597,128591,82411,213987,184340,204389,150886,240683,81136,610196,147168,101697,8199671
"70 a 79",39585,99866,21474,29005,434962,120390,141603,99421,24444,60027,535671,123808,183611,105697,274296,165511,76171,42474,177594,152834,206285,61717,34616,112945,102034,99545,73393,121577,40006,328944,79294,56868,4225668
"80 y mas",18027,41462,8816,13988,213178,53161,67318,44905,11506,29695,231087,64714,91965,52067,129758,88068,39442,21902,80374,84719,107525,27664,13702,53776,55243,44608,33544,59482,20922,162674,38698,31425,2035415
"TotalEntidad",1434635,3634868,804708,1000617,9018645,3801487,5730367,3218720,785153,1868996,17427790,3657048,6228175,3086414,8409693,4825401,2044058,1288571,5610153,4143593,6604451,2279637,1723259,3156674,2866142,3074745,2572287,3650602,1380011,8539862,2259098,1666426,127792286
