"Fecha","FrecuenciaInicioSintomas"
2020-01-06,1
2020-01-07,0
2020-01-08,1
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,1
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,1
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,3
2020-02-18,1
2020-02-19,2
2020-02-20,0
2020-02-21,1
2020-02-22,2
2020-02-23,2
2020-02-24,0
2020-02-25,2
2020-02-26,1
2020-02-27,1
2020-02-28,2
2020-02-29,2
2020-03-01,6
2020-03-02,6
2020-03-03,6
2020-03-04,7
2020-03-05,7
2020-03-06,9
2020-03-07,19
2020-03-08,21
2020-03-09,60
2020-03-10,49
2020-03-11,49
2020-03-12,57
2020-03-13,83
2020-03-14,90
2020-03-15,97
2020-03-16,132
2020-03-17,102
2020-03-18,121
2020-03-19,103
2020-03-20,173
2020-03-21,123
2020-03-22,132
2020-03-23,202
2020-03-24,167
2020-03-25,183
2020-03-26,225
2020-03-27,256
2020-03-28,249
2020-03-29,242
2020-03-30,335
2020-03-31,292
2020-04-01,396
2020-04-02,391
2020-04-03,399
2020-04-04,402
2020-04-05,365
2020-04-06,481
2020-04-07,394
2020-04-08,472
2020-04-09,441
2020-04-10,649
2020-04-11,462
2020-04-12,440
2020-04-13,463
2020-04-14,361
2020-04-15,300
2020-04-16,205
2020-04-17,140
2020-04-18,87
2020-04-19,51
2020-04-20,12
2020-04-21,7
2020-04-22,0
