"Fecha","InicioSintomas","Reporte"
2020-01-06,1,NA
2020-01-07,0,NA
2020-01-08,1,NA
2020-01-09,0,NA
2020-01-10,0,NA
2020-01-11,0,NA
2020-01-12,0,NA
2020-01-13,0,NA
2020-01-14,0,NA
2020-01-15,0,NA
2020-01-16,0,NA
2020-01-17,1,NA
2020-01-18,0,NA
2020-01-19,0,NA
2020-01-20,0,NA
2020-01-21,0,NA
2020-01-22,0,NA
2020-01-23,0,NA
2020-01-24,0,NA
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,0,NA
2020-01-28,0,NA
2020-01-29,0,NA
2020-01-30,0,NA
2020-01-31,0,NA
2020-02-01,0,NA
2020-02-02,0,NA
2020-02-03,0,NA
2020-02-04,0,NA
2020-02-05,0,NA
2020-02-06,1,NA
2020-02-07,2,NA
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,0,NA
2020-02-11,0,NA
2020-02-12,0,NA
2020-02-13,0,NA
2020-02-14,1,NA
2020-02-15,0,NA
2020-02-16,0,NA
2020-02-17,2,NA
2020-02-18,1,NA
2020-02-19,2,NA
2020-02-20,0,NA
2020-02-21,1,NA
2020-02-22,2,NA
2020-02-23,2,NA
2020-02-24,0,NA
2020-02-25,2,NA
2020-02-26,1,NA
2020-02-27,2,NA
2020-02-28,2,3
2020-02-29,2,1
2020-03-01,6,1
2020-03-02,8,0
2020-03-03,6,0
2020-03-04,7,0
2020-03-05,7,0
2020-03-06,9,1
2020-03-07,19,1
2020-03-08,21,0
2020-03-09,60,0
2020-03-10,48,0
2020-03-11,50,4
2020-03-12,57,4
2020-03-13,84,11
2020-03-14,92,15
2020-03-15,96,12
2020-03-16,132,29
2020-03-17,101,11
2020-03-18,121,25
2020-03-19,104,46
2020-03-20,176,39
2020-03-21,124,48
2020-03-22,131,65
2020-03-23,207,51
2020-03-24,166,38
2020-03-25,186,70
2020-03-26,234,110
2020-03-27,262,132
2020-03-28,254,131
2020-03-29,243,145
2020-03-30,348,101
2020-03-31,294,121
2020-04-01,409,163
2020-04-02,398,132
2020-04-03,414,178
2020-04-04,419,202
2020-04-05,385,253
2020-04-06,516,296
2020-04-07,455,346
2020-04-08,548,396
2020-04-09,532,260
2020-04-10,810,403
2020-04-11,599,375
2020-04-12,609,442
2020-04-13,747,353
2020-04-14,646,385
2020-04-15,701,448
2020-04-16,676,450
2020-04-17,656,578
2020-04-18,670,622
2020-04-19,488,764
2020-04-20,510,511
2020-04-21,281,729
2020-04-22,185,1043
2020-04-23,126,1089
2020-04-24,34,1239
2020-04-25,21,970
2020-04-26,15,835
2020-04-27,0,852
