"","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30"
"10 años y menos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2
"10 años y 1 día-20 años",0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,6,9,11,12,16,21,25,28,36,40,43,44,49
"20 años y 1 día-30 años",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,9,14,15,24,33,38,50,66,75,85,97,125,146,176,203,225
"30 años y 1 día-40 años",1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,7,8,16,18,22,29,36,56,68,81,91,96,114,146,181,211,230
"40 años y 1 día-50 años",1,1,1,1,1,1,1,1,2,2,2,2,3,3,6,8,9,16,18,21,37,42,48,59,67,71,86,114,145,173,210,233
"50 años y 1 día-60 años",1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,8,10,14,17,22,26,35,40,49,60,62,75,90,111,133,163,182
"60 años y 1 día-70 años",0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,9,10,10,11,16,20,22,23,25,30,41,49,64,72,85,91
"70 años y 1 día-80 años",0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,4,4,8,9,9,10,16,16,18,20,22,28,35,42,47,50,56
"más de 80 años",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,5
"TotalFecha",3,4,5,5,5,5,5,6,7,7,7,7,10,14,25,40,51,81,91,115,160,198,244,299,349,386,454,566,697,829,972,1073
