"","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04"
"Ags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,4,6,6,12,13,18,18,23,23,34,34,44,45,46
"BC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,8,11,13,13,14,19,20,20,23,27,35,37,40,52,54
"BCS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,6,6,8,10,14,15,16,18,24
"Camp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3,3,5,5,5,6,8
"CDMX",2,2,2,2,2,2,2,2,3,3,3,3,5,5,11,17,18,21,21,24,31,31,44,51,56,61,77,78,103,173,192,202,230,292,324,379,464
"Chih",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,5,5,5,5,5,5,5,6,10,10,11,12
"Chis",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,6,6,10,11,13,14,15,18,19
"Coah",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,9,11,11,11,12,13,14,31,37,41,54,59,67,69
"Col",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4
"Dgo",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4,5,5,5,5,5,5,7,7,7,7,7,7,8,8,10
"EdoMex",0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,9,10,10,10,13,13,21,21,21,25,37,61,76,108,125,138,149,165,172,178
"Gro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,4,5,6,7,7,7,10,13,13,15,17,22,24,25
"Gto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,7,12,19,23,31,37,37,43,46,49,50,52,53
"Hgo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,7,7,7,12,12,12,17,17,19,21,26,30,32
"Jal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,6,21,28,31,37,42,42,42,62,75,80,81,88,91,97,102,114,118
"Mich",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,10,11,16,17,17,17,21,24,24,24,29
"Mor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,6,6,7,9,9,12,14
"Nay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,5,5,5,6,6,8,8,8,9
"NL",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,13,14,18,19,29,32,35,40,52,52,57,64,64,67,75,76,78,84,85,88
"Oax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,4,4,7,8,11,12,14,14,14,22,22,22,22
"Pue",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,8,9,9,11,14,16,16,16,22,34,45,51,52,66,76,81,97,100,109,125
"Qro",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,6,6,6,8,10,13,13,15,15,17,20,22,24,25,26,28,28,31,34,35
"QRoo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,6,6,9,10,10,18,19,19,26,26,30,35,40,44,48,53,62,72
"Sin",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,8,9,14,18,23,26,31,41,50,73
"SLP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,7,7,9,12,16,16,17,18,19,20,24,25,25,29,31,33,33
"Son",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,4,4,4,7,8,10,14,17,17,18,21,22,27
"Tab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,5,6,6,6,17,21,27,33,37,47,51,61,72,82
"Tamps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,4,5,5,6,6,6,6,7,8,8,9,13,16,20
"Tlax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,4,4,7,8
"Ver",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,7,7,7,7,7,17,23,24,26,27,28,29,34,36
"Yuc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,8,12,12,13,17,17,22,27,30,34,36,39,44,47,50,51,57,60
"Zac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,4,4,4,5,6,6,6,7,7,10
"TotalFecha",3,4,5,5,5,5,5,6,7,7,7,7,10,14,25,40,51,81,91,115,160,197,243,299,349,386,454,558,688,820,962,1062,1179,1344,1478,1654,1859
