"","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04"
"0 a 9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"10 a 19",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,8,9,9,13,18,20,23,27,30,31,32,37,40,46,48,54,57
"20 a 29",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,11,12,21,29,34,46,60,64,74,86,112,134,161,184,201,216,240,251,272,302
"30 a 39",1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,11,12,20,22,26,34,42,62,74,91,101,106,123,150,186,215,238,259,295,319,358,398
"40 a 49",1,1,1,1,1,1,1,1,2,2,2,2,3,3,6,8,9,15,17,20,34,39,46,59,67,73,88,111,144,174,211,233,269,307,334,382,436
"50 a 59",1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,8,10,15,18,23,29,37,42,51,62,64,75,93,112,133,165,184,202,232,271,297,327
"60 a 69",0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,8,8,8,9,13,17,19,21,23,28,42,51,70,81,95,102,115,134,156,174,199
"70 a 79",0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,4,5,9,10,10,12,17,17,19,22,24,30,37,43,48,52,59,70,79,87,101,116
"80 y mas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,4,4,5,6,8,8,8,11,12,16,21
"TotalFecha",3,4,5,5,5,5,5,6,7,7,7,7,10,14,25,40,51,81,91,115,160,197,243,299,349,386,454,558,688,820,962,1062,1179,1344,1478,1654,1859
