"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",4247,0.96,1434635,296.03
"BC",13681,3.08,3634868,376.38
"BCS",4656,1.05,804708,578.59
"Camp",4793,1.08,1000617,479
"CDMX",91535,20.62,9018645,1014.95
"Chih",5346,1.2,3801487,140.63
"Chis",5580,1.26,5730367,97.38
"Coah",13660,3.08,3218720,424.39
"Col",2044,0.46,785153,260.33
"Dgo",4286,0.97,1868996,229.32
"EdoMex",38627,8.7,17427790,221.64
"Gro",11151,2.51,3657048,304.92
"Gto",21999,4.96,6228175,353.22
"Hgo",6946,1.57,3086414,225.05
"Jal",13687,3.08,8409693,162.75
"Mich",10339,2.33,4825401,214.26
"Mor",3964,0.89,2044058,193.93
"Nay",3533,0.8,1288571,274.18
"NL",19438,4.38,5610153,346.48
"Oax",10745,2.42,4143593,259.32
"Pue",20793,4.69,6604451,314.83
"Qro",3969,0.89,2279637,174.11
"QRoo",7966,1.79,1723259,462.26
"Sin",12878,2.9,3156674,407.96
"SLP",10599,2.39,2866142,369.8
"Son",18038,4.06,3074745,586.65
"Tab",22688,5.11,2572287,882.02
"Tamps",17289,3.9,3650602,473.59
"Tlax",4315,0.97,1380011,312.68
"Ver",21626,4.87,8539862,253.24
"Yuc",10513,2.37,2259098,465.36
"Zac",2882,0.65,1666426,172.94
"Nacional",443813,99.99,127792286,347.29
