"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",2449,1,1434635,170.71
"BC",9793,3.99,3634868,269.42
"BCS",1664,0.68,804708,206.78
"Camp",2292,0.93,1000617,229.06
"CDMX",61606,25.12,9018645,683.1
"Chih",3268,1.33,3801487,85.97
"Chis",4545,1.85,5730367,79.31
"Coah",5439,2.22,3218720,168.98
"Col",659,0.27,785153,83.93
"Dgo",2111,0.86,1868996,112.95
"EdoMex",25842,10.54,17427790,148.28
"Gro",5602,2.28,3657048,153.18
"Gto",8506,3.47,6228175,136.57
"Hgo",4087,1.67,3086414,132.42
"Jal",7303,2.98,8409693,86.84
"Mich",6143,2.5,4825401,127.31
"Mor",2984,1.22,2044058,145.98
"Nay",1856,0.76,1288571,144.04
"NL",6896,2.81,5610153,122.92
"Oax",5830,2.38,4143593,140.7
"Pue",11749,4.79,6604451,177.9
"Qro",2200,0.9,2279637,96.51
"QRoo",4053,1.65,1723259,235.19
"Sin",8762,3.57,3156674,277.57
"SLP",3441,1.4,2866142,120.06
"Son",8660,3.53,3074745,281.65
"Tab",11513,4.69,2572287,447.58
"Tamps",6989,2.85,3650602,191.45
"Tlax",2486,1.01,1380011,180.14
"Ver",10683,4.36,8539862,125.1
"Yuc",4855,1.98,2259098,214.91
"Zac",985,0.4,1666426,59.11
"Nacional",245251,99.99,127792286,191.91
