"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",304,0.96,1434635,21.19
"BC",2304,7.31,3634868,63.39
"BCS",372,1.18,804708,46.23
"Camp",230,0.73,1000617,22.99
"CDMX",10276,32.6,9018645,113.94
"Chih",632,2,3801487,16.63
"Chis",320,1.02,5730367,5.58
"Coah",537,1.7,3218720,16.68
"Col",36,0.11,785153,4.59
"Dgo",105,0.33,1868996,5.62
"EdoMex",3863,12.25,17427790,22.17
"Gro",432,1.37,3657048,11.81
"Gto",415,1.32,6228175,6.66
"Hgo",470,1.49,3086414,15.23
"Jal",559,1.77,8409693,6.65
"Mich",519,1.65,4825401,10.76
"Mor",697,2.21,2044058,34.1
"Nay",193,0.61,1288571,14.98
"NL",609,1.93,5610153,10.86
"Oax",213,0.68,4143593,5.14
"Pue",1030,3.27,6604451,15.6
"Qro",220,0.7,2279637,9.65
"QRoo",1022,3.24,1723259,59.31
"Sin",1380,4.38,3156674,43.72
"SLP",227,0.72,2866142,7.92
"Son",378,1.2,3074745,12.29
"Tab",1516,4.81,2572287,58.94
"Tamps",441,1.4,3650602,12.08
"Tlax",331,1.05,1380011,23.99
"Ver",1013,3.21,8539862,11.86
"Yuc",747,2.37,2259098,33.07
"Zac",131,0.42,1666426,7.86
"Nacional",31522,99.99,127792286,24.67
