"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",161,1.04,1434635,11.22
"BC",1316,8.47,3634868,36.2
"BCS",286,1.84,804708,35.54
"Camp",103,0.66,1000617,10.29
"CDMX",4887,31.47,9018645,54.19
"Chih",272,1.75,3801487,7.16
"Chis",128,0.82,5730367,2.23
"Coah",354,2.28,3218720,11
"Col",23,0.15,785153,2.93
"Dgo",46,0.3,1868996,2.46
"EdoMex",1753,11.29,17427790,10.06
"Gro",207,1.33,3657048,5.66
"Gto",215,1.38,6228175,3.45
"Hgo",182,1.17,3086414,5.9
"Jal",303,1.95,8409693,3.6
"Mich",219,1.41,4825401,4.54
"Mor",181,1.17,2044058,8.85
"Nay",58,0.37,1288571,4.5
"NL",295,1.9,5610153,5.26
"Oax",116,0.75,4143593,2.8
"Pue",556,3.58,6604451,8.42
"Qro",123,0.79,2279637,5.4
"QRoo",643,4.14,1723259,37.31
"Sin",798,5.14,3156674,25.28
"SLP",84,0.54,2866142,2.93
"Son",159,1.02,3074745,5.17
"Tab",812,5.23,2572287,31.57
"Tamps",288,1.85,3650602,7.89
"Tlax",145,0.93,1380011,10.51
"Ver",402,2.59,8539862,4.71
"Yuc",350,2.25,2259098,15.49
"Zac",64,0.41,1666426,3.84
"Nacional",15529,99.97,127792286,12.15
