"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",2289,1.04,1434635,159.55
"BC",8897,4.03,3634868,244.77
"BCS",1472,0.67,804708,182.92
"Camp",1984,0.9,1000617,198.28
"CDMX",57750,26.17,9018645,640.34
"Chih",3009,1.36,3801487,79.15
"Chis",4260,1.93,5730367,74.34
"Coah",4288,1.94,3218720,133.22
"Col",553,0.25,785153,70.43
"Dgo",1790,0.81,1868996,95.77
"EdoMex",23625,10.71,17427790,135.56
"Gro",5153,2.34,3657048,140.91
"Gto",7039,3.19,6228175,113.02
"Hgo",3698,1.68,3086414,119.82
"Jal",6540,2.96,8409693,77.77
"Mich",5625,2.55,4825401,116.57
"Mor",2745,1.24,2044058,134.29
"Nay",1631,0.74,1288571,126.57
"NL",5319,2.41,5610153,94.81
"Oax",5083,2.3,4143593,122.67
"Pue",10389,4.71,6604451,157.3
"Qro",2044,0.93,2279637,89.66
"QRoo",3518,1.59,1723259,204.15
"Sin",8128,3.68,3156674,257.49
"SLP",3050,1.38,2866142,106.41
"Son",7225,3.27,3074745,234.98
"Tab",10534,4.77,2572287,409.52
"Tamps",5853,2.65,3650602,160.33
"Tlax",2282,1.03,1380011,165.36
"Ver",9779,4.43,8539862,114.51
"Yuc",4233,1.92,2259098,187.38
"Zac",872,0.4,1666426,52.33
"Nacional",220657,99.98,127792286,172.67
