"X","Ags","BC","BCS","Camp","CDMX","Chih","Chis","Coah","Col","Dgo","EdoMex","Gro","Gto","Hgo","Jal","Mich","Mor","Nay","NL","Oax","Pue","Qro","QRoo","Sin","SLP","Son","Tab","Tamps","Tlax","Ver","Yuc","Zac"
"28/02/2020","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"29/02/2020","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"01/03/2020","0","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"02/03/2020","0","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"03/03/2020","0","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"04/03/2020","0","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"05/03/2020","0","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"06/03/2020","0","0","0","0","2","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"07/03/2020","0","0","0","0","3","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"08/03/2020","0","0","0","0","3","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"09/03/2020","0","0","0","0","3","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"10/03/2020","0","0","0","0","3","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"11/03/2020","0","0","0","0","5","0","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"12/03/2020","0","0","0","0","5","0","1","1","0","1","2","0","0","0","0","0","0","0","1","0","1","2","0","1","0","0","0","0","0","0","0","0"
"13/03/2020","0","0","0","0","11","0","1","1","0","1","3","0","0","0","0","0","0","0","1","0","1","4","1","1","0","0","0","0","0","0","1","0"
"14/03/2020","0","0","0","0","17","0","1","1","0","1","3","0","0","0","2","0","0","0","3","2","3","4","1","1","1","0","0","0","0","0","1","0"
"15/03/2020","1","0","0","0","18","0","1","1","0","1","4","0","0","0","2","0","0","0","5","2","6","6","1","2","2","0","0","0","0","0","1","0"
"16/03/2020","1","0","0","0","21","0","1","1","0","3","9","2","0","0","2","0","0","0","13","2","8","7","4","2","2","0","0","0","0","0","4","0"
"17/03/2020","1","0","0","0","21","1","1","1","0","3","10","2","1","0","5","0","0","0","14","2","9","7","4","2","2","1","0","1","0","0","5","0"
"18/03/2020","1","2","0","0","24","1","1","1","1","3","10","2","4","0","6","0","0","0","19","2","9","7","6","2","3","1","1","2","0","2","8","0"
"19/03/2020","4","2","0","0","31","1","2","1","1","3","10","4","4","2","22","0","0","0","19","2","11","9","6","3","7","2","1","2","0","2","13","0"
"20/03/2020","4","4","0","0","31","2","2","1","1","4","14","4","4","2","28","0","2","0","29","2","14","11","11","3","7","2","2","2","0","4","13","0"
"21/03/2020","4","8","1","0","45","2","2","3","2","5","14","4","4","3","32","0","2","1","32","2","16","14","12","3","9","2","4","3","0","7","14","1"
"22/03/2020","4","11","1","1","56","5","2","10","2","5","22","4","4","5","41","3","2","1","35","3","16","14","12","4","12","4","5","4","0","7","19","2"
"23/03/2020","6","13","2","2","60","5","2","12","2","5","22","5","7","7","46","7","2","1","40","4","16","16","21","4","16","4","6","5","0","7","19","3"
"24/03/2020","6","13","2","2","66","6","2","12","2","5","22","6","12","7","46","8","2","1","52","4","22","16","22","4","16","4","6","5","0","7","24","3"
"25/03/2020","12","14","5","2","82","6","4","12","2","5","26","7","19","7","46","10","2","4","52","7","34","18","22","4","17","4","6","6","1","7","29","3"
"26/03/2020","13","19","7","2","83","6","4","13","2","5","46","7","23","12","64","11","4","4","57","8","45","21","29","8","18","7","17","6","1","7","32","4"
"27/03/2020","19","20","9","2","107","6","7","14","2","7","70","7","31","12","77","16","4","5","64","11","51","23","29","9","19","8","21","6","4","17","36","4"
"28/03/2020","19","20","9","3","177","6","6","15","2","7","85","10","37","12","82","17","4","5","64","12","52","25","33","14","20","10","27","6","4","23","38","4"
"29/03/2020","24","23","11","3","196","6","10","32","2","7","119","13","37","17","83","17","6","5","67","14","66","26","38","19","24","14","33","7","4","24","41","5"
"30/03/2020","24","27","13","3","205","6","11","39","2","7","136","13","43","17","90","17","6","6","75","14","76","27","43","24","25","17","38","8","4","26","46","6"
"31/03/2020","36","35","17","5","234","7","13","44","2","7","149","15","46","19","94","21","7","6","76","14","81","29","47","27","25","17","48","8","4","27","49","6"
"01/04/2020","36","37","18","5","296","11","14","57","3","7","157","17","49","21","99","24","9","8","78","22","97","29","51","32","31","18","52","9","5","28","52","6"
"02/04/2020","47","40","19","5","327","11","15","62","3","8","171","22","50","26","104","24","9","8","84","22","100","32","56","42","33","21","62","13","5","29","53","7"
"03/04/2020","48","52","21","6","384","12","18","70","4","8","177","24","52","30","116","24","12","8","85","22","109","35","65","51","35","22","73","16","8","35","59","7"
"04/04/2020","49","54","27","8","469","13","19","72","4","10","180","25","53","32","120","29","14","9","88","22","125","36","75","74","35","27","83","20","9","37","62","10"
"05/04/2020","49","69","28","8","560","15","25","82","4","12","204","30","53","34","123","30","15","9","91","25","147","38","86","90","37","28","97","26","11","40","67","10"
"06/04/2020","49","111","54","9","609","22","26","102","4","12","261","32","58","35","126","33","17","10","93","27","156","40","115","97","37","30","107","31","14","41","72","9"
"07/04/2020","53","136","56","14","723","22","28","109","5","15","320","37","61","41","135","34","24","10","93","35","179","45","135","111","41","35","108","32","18","46","74","10"
"08/04/2020","53","225","68","14","855","29","32","122","7","15","354","47","67","46","139","36","26","12","98","37","183","47","143","125","43","46","112","43","23","49","74","11"
"09/04/2020","53","239","68","14","909","42","34","129","7","16","399","49","71","47","139","46","35","16","107","40","198","50","159","138","47","48","113","46","29","54","88","11"
"10/04/2020","53","258","85","15","1040","54","38","143","7","16","470","54","78","51","144","46","35","19","110","41","214","55","163","171","48","55","134","48","34","63","88","14"
"11/04/2020","55","278","102","18","1117","54","39","156","7","16","498","56","81","53","150","50","40","21","119","43","243","57","216","214","51","65","143","49","38","73","103","14"
"12/04/2020","55","335","120","19","1328","61","43","157","7","16","523","70","82","58","156","61","44","22","124","43","256","61","223","229","53","69","153","53","40","78","107","15"
"13/04/2020","55","368","153","29","1437","67","43","176","7","16","558","77","88","58","159","62","49","25","132","44","269","61","239","245","55","72","156","53","49","82","114","16"
"14/04/2020","65","412","164","33","1556","69","45","194","7","15","602","88","90","64","165","67","53","25","136","46","276","65","245","261","55","73","195","55","51","94","116","17"
"15/04/2020","65","464","165","43","1686","83","48","195","7","16","659","97","91","64","176","70","56","27","150","50","291","69","269","292","56","78","210","60","58","106","128","18"
"16/04/2020","71","505","166","45","1828","108","54","214","7","17","695","100","96","67","178","84","58","29","159","53","305","76","276","327","56","89","233","78","62","112","131","18"
"17/04/2020","77","536","169","47","2080","115","58","217","9","19","754","110","113","70","190","99","73","31","159","56","314","78","280","374","58","97","250","91","67","121","140","23"
"18/04/2020","77","610","173","56","2299","131","62","232","10","19","786","110","116","75","196","107","77","33","172","62","330","79","315","413","59","108","278","117","72","124","172","27"
"19/04/2020","80","680","193","57","2591","148","67","237","11","21","877","121","133","87","198","115","82","35","184","63","352","81","322","459","63","117","335","127","76","146","176","27"
"20/04/2020","80","741","205","63","2710","152","68","254","11","22","901","126","150","92","216","127","85","37","202","69","360","85","360","486","66","117","397","134","78","156","191","31"
"21/04/2020","80","915","228","67","2857","155","75","266","14","30","1013","126","158","106","226","139","89","41","203","72","382","88","393","510","67","114","467","145","84","165","194","32"
"22/04/2020","99","992","240","70","3287","176","83","279","14","33","1157","137","173","113","236","146","96","43","221","80","386","91","426","570","68","122","504","166","99","195","199","43"
"23/04/2020","105","1083","241","70","3685","194","95","290","15","39","1245","157","182","115","256","168","112","49","259","86","415","94","461","616","73","127","592","191","107","230","234","47"
"24/04/2020","145","1164","247","83","4118","213","100","312","15","41","1445","165","192","144","263","179","135","51","270","87","456","104","511","692","73","138","644","205","118","268","244","50"
"25/04/2020","146","1206","266","87","4431","241","114","336","16","43","1608","171","198","155","271","195","158","53","282","102","486","110","540","711","76","135","700","217","133","299","299","57"
"26/04/2020","148","1286","285","94","4660","259","118","344","18","45","1694","193","206","174","282","210","178","57","287","105","514","112","593","750","79","144","721","262","140","334","321","64"
"27/04/2020","161","1316","286","103","4887","272","128","354","23","46","1753","207","215","182","303","219","181","58","295","116","556","123","643","798","84","159","812","288","145","402","350","64"
"28/04/2020","167","1410","293","114","5261","315","137","364","25","57","1966","232","219","218","316","258","229","61","310","119","586","125","688","806","85","163","885","296","168","438","375","66"
"29/04/2020","187","1516","302","121","5626","326","161","365","25","59","2053","260","238","235","325","287","261","66","324","128","625","130","701","824","98","173","935","309","185","486","401","67"
"30/04/2020","206","1577","309","129","6113","352","173","403","26","67","2258","273","262","254","348","323","307","86","346","136","642","136","778","869","108","186","977","316","199","546","445","74"
