"","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","TotalLoc"
"Ags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,6,1,13
"BC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,3,2,0,1,5,19
"BCS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4
"Camp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
"CDMX",2,0,0,0,0,0,0,0,1,0,0,0,2,0,6,6,1,3,0,3,7,0,13,7,5,6,16,1,79
"Chih",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,5
"Chis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4
"Coah",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,1,12
"Col",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
"Dgo",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,5
"EdoMex",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,5,1,0,0,4,0,8,0,0,4,20,46
"Gro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,1,0,7
"Gto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,5,7,4,23
"Hgo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,5,12
"Jal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,15,7,3,6,5,0,0,19,61
"Mich",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,2,1,11
"Mor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4
"Nay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4
"NL",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,8,1,4,1,10,3,3,5,12,0,5,57
"Oax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,3,1,8
"Pue",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,1,0,2,3,2,0,0,6,12,11,45
"Qro",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,2,2,3,0,2,0,2,3,20
"QRoo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,3,1,0,8,1,0,7,26
"Sin",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,8
"SLP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,2,3,4,0,1,1,18
"Son",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,3,7
"Tab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,11,17
"Tamps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,6
"Tlax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Ver",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,7
"Yuc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,4,0,1,4,0,5,5,3,30
"Zac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,4
"TotalFecha",3,1,1,0,0,0,0,1,1,0,0,0,3,4,11,15,11,30,10,24,45,38,46,56,50,38,68,111,567
