"","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","TotalEdad"
"0 a 9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"10 a 19",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,0,4,5,2,3,4,3,1,1,5,3,6,2,6,54
"20 a 29",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,9,8,5,12,14,4,10,12,28,22,27,23,17,15,24,11,21,274
"30 a 39",1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,1,8,2,4,8,8,20,12,17,10,5,18,27,36,29,23,21,36,23,40,359
"40 a 49",1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,1,6,2,3,14,5,7,13,8,6,15,23,33,30,37,21,36,38,27,49,382
"50 a 59",1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,5,3,5,6,8,5,9,11,2,11,18,19,21,32,19,18,30,39,26,297
"60 a 69",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,0,0,1,4,4,2,2,2,5,14,9,19,11,14,7,13,19,22,18,174
"70 a 79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,4,1,0,2,5,0,2,3,2,6,7,6,5,4,7,11,9,8,14,101
"80 y mas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,1,2,0,0,3,1,4,16
"TotalFecha",3,1,1,0,0,0,0,1,1,0,0,0,3,4,11,15,11,30,10,24,45,37,46,56,50,37,68,107,130,132,142,99,117,165,133,179,1658
