"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",154,0.53,2434,6.33
"BC",2007,6.88,9578,20.95
"BCS",79,0.27,1615,4.89
"Camp",223,0.76,2213,10.08
"CDMX",6750,23.13,60225,11.21
"Chih",653,2.24,3214,20.32
"Chis",584,2,4519,12.92
"Coah",240,0.82,5292,4.54
"Col",78,0.27,619,12.6
"Dgo",149,0.51,2032,7.33
"EdoMex",4514,15.46,25224,17.9
"Gro",913,3.13,5490,16.63
"Gto",390,1.34,8102,4.81
"Hgo",698,2.39,4002,17.44
"Jal",762,2.61,7072,10.77
"Mich",479,1.64,6052,7.91
"Mor",683,2.34,2921,23.38
"Nay",209,0.72,1792,11.66
"NL",361,1.24,6705,5.38
"Oax",601,2.06,5574,10.78
"Pue",1406,4.82,11348,12.39
"Qro",296,1.01,2168,13.65
"QRoo",605,2.07,3926,15.41
"Sin",1356,4.65,8627,15.72
"SLP",161,0.55,3359,4.79
"Son",773,2.65,8139,9.5
"Tab",1097,3.76,11232,9.77
"Tamps",399,1.37,6583,6.06
"Tlax",367,1.26,2414,15.2
"Ver",1635,5.6,10472,15.61
"Yuc",466,1.6,4612,10.1
"Zac",101,0.35,956,10.56
"Nacional",29189,100.03,238511,12.24
