"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",314,0.57,4760,6.6
"BC",2844,5.14,14868,19.13
"BCS",241,0.44,5938,4.06
"Camp",655,1.18,5218,12.55
"CDMX",9668,17.49,101140,9.56
"Chih",1002,1.81,6329,15.83
"Chis",966,1.75,5759,16.77
"Coah",1038,1.88,16949,6.12
"Col",305,0.55,2592,11.77
"Dgo",362,0.65,4993,7.25
"EdoMex",7162,12.95,43165,16.59
"Gro",1492,2.7,12652,11.79
"Gto",1335,2.41,25504,5.23
"Hgo",1285,2.32,8105,15.85
"Jal",1939,3.51,15947,12.16
"Mich",927,1.68,11878,7.8
"Mor",885,1.6,4326,20.46
"Nay",472,0.85,4070,11.6
"NL",1668,3.02,23274,7.17
"Oax",1097,1.98,11868,9.24
"Pue",2985,5.4,24124,12.37
"Qro",581,1.05,4866,11.94
"QRoo",1176,2.13,8981,13.09
"Sin",2512,4.54,14227,17.66
"SLP",802,1.45,13515,5.93
"Son",2381,4.31,19706,12.08
"Tab",2287,4.14,25371,9.01
"Tamps",1453,2.63,20249,7.18
"Tlax",797,1.44,4823,16.52
"Ver",3201,5.79,24511,13.06
"Yuc",1107,2,12218,9.06
"Zac",354,0.64,3825,9.25
"Nacional",55293,100,505751,10.93
