"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",35,0.35,826,4.24
"BC",865,8.71,5154,16.78
"BCS",35,0.35,614,5.7
"Camp",90,0.91,684,13.16
"CDMX",2658,26.77,30103,8.83
"Chih",318,3.2,1616,19.68
"Chis",135,1.36,1821,7.41
"Coah",81,0.82,1090,7.43
"Col",21,0.21,146,14.38
"Dgo",37,0.37,373,9.92
"EdoMex",1159,11.67,9855,11.76
"Gro",266,2.68,1826,14.57
"Gto",107,1.08,1650,6.48
"Hgo",304,3.06,1688,18.01
"Jal",143,1.44,1787,8
"Mich",165,1.66,1951,8.46
"Mor",265,2.67,1341,19.76
"Nay",53,0.53,555,9.55
"NL",88,0.89,1423,6.18
"Oax",152,1.53,1397,10.88
"Pue",350,3.52,3076,11.38
"Qro",105,1.06,982,10.69
"QRoo",352,3.54,1871,18.81
"Sin",501,5.05,3437,14.58
"SLP",51,0.51,937,5.44
"Son",111,1.12,1990,5.58
"Tab",520,5.24,4149,12.53
"Tamps",108,1.09,1569,6.88
"Tlax",148,1.49,1043,14.19
"Ver",518,5.22,3604,14.37
"Yuc",155,1.56,1819,8.52
"Zac",34,0.34,287,11.85
"Nacional",9930,100,90664,10.95
