"Entidad","FrecuenciaAcum","Proyeccion","TasaIncidencia"
"Ags","49","1434635","3.42"
"BC","54","3634868","1.49"
"BCS","27","804708","3.36"
"Camp","8","1000617","0.8"
"CDMX","469","9018645","5.2"
"Chih","13","3801487","0.34"
"Chis","19","5730367","0.33"
"Coah","72","3218720","2.24"
"Col","4","785153","0.51"
"Dgo","10","1868996","0.54"
"EdoMex","180","17427790","1.03"
"Gro","25","3657048","0.68"
"Gto","53","6228175","0.85"
"Hgo","32","3086414","1.04"
"Jal","120","8409693","1.43"
"Mich","29","4825401","0.6"
"Mor","14","2044058","0.68"
"Nay","9","1288571","0.7"
"NL","88","5610153","1.57"
"Oax","22","4143593","0.53"
"Pue","125","6604451","1.89"
"Qro","36","2279637","1.58"
"QRoo","75","1723259","4.35"
"Sin","74","3156674","2.34"
"SLP","35","2866142","1.22"
"Son","27","3074745","0.88"
"Tab","83","2572287","3.23"
"Tamps","20","3650602","0.55"
"Tlax","9","1380011","0.65"
"Ver","37","8539862","0.43"
"Yuc","62","2259098","2.74"
"Zac","10","1666426","0.6"
"Nacional","1890","127792286","1.48"
