"Entidad","FrecuenciaAcum","Porcentaje","Proyeccion","TasaIncidencia"
"Ags","55","1.3","1434635","3.83"
"BC","278","6.59","3634868","7.65"
"BCS","102","2.42","804708","12.68"
"Camp","18","0.43","1000617","1.8"
"CDMX","1117","26.48","9018645","12.39"
"Chih","54","1.28","3801487","1.42"
"Chis","39","0.92","5730367","0.68"
"Coah","156","3.7","3218720","4.85"
"Col","7","0.17","785153","0.89"
"Dgo","16","0.38","1868996","0.86"
"EdoMex","498","11.8","17427790","2.86"
"Gro","56","1.33","3657048","1.53"
"Gto","81","1.92","6228175","1.3"
"Hgo","53","1.26","3086414","1.72"
"Jal","150","3.56","8409693","1.78"
"Mich","50","1.19","4825401","1.04"
"Mor","40","0.95","2044058","1.96"
"Nay","21","0.5","1288571","1.63"
"NL","119","2.82","5610153","2.12"
"Oax","43","1.02","4143593","1.04"
"Pue","243","5.76","6604451","3.68"
"Qro","57","1.35","2279637","2.5"
"QRoo","216","5.12","1723259","12.53"
"Sin","214","5.07","3156674","6.78"
"SLP","51","1.21","2866142","1.78"
"Son","65","1.54","3074745","2.11"
"Tab","143","3.39","2572287","5.56"
"Tamps","49","1.16","3650602","1.34"
"Tlax","38","0.9","1380011","2.75"
"Ver","73","1.73","8539862","0.85"
"Yuc","103","2.44","2259098","4.56"
"Zac","14","0.33","1666426","0.84"
"Nacional","4219","100.02","127792286","3.3"
