Fecha,ConfirmadosAcum,SospechososAcum,NegativosAcum,ActivosAcum,FallecidosAcum,RecuperadosAcum,EstudiadosAcum
25-feb,0,0,18,0,0,0,0
26-feb,0,1,18,0,0,0,0
27-feb,0,1,22,0,0,0,0
28-feb,3,3,37,3,0,0,0
29-feb,4,8,46,4,0,0,0
01-mar,5,11,60,5,0,0,0
02-mar,5,21,69,5,0,0,0
03-mar,5,39,75,5,0,0,0
04-mar,5,26,112,5,0,0,0
05-mar,5,35,143,5,0,0,0
06-mar,6,36,163,6,0,0,0
07-mar,7,30,186,7,0,0,0
08-mar,7,24,201,7,0,0,0
09-mar,7,12,218,7,0,0,0
10-mar,7,37,234,7,0,0,0
11-mar,11,49,264,10,0,1,0
12-mar,15,82,298,14,0,1,0
13-mar,26,105,344,25,0,1,0
14-mar,41,155,404,39,0,2,0
15-mar,53,176,482,50,0,3,0
16-mar,82,171,579,79,0,3,0
17-mar,93,206,672,90,0,3,0
18-mar,118,314,787,115,0,3,0
19-mar,164,448,921,160,1,3,0
20-mar,203,606,1111,198,2,3,0
21-mar,251,697,1463,246,2,3,0
22-mar,316,793,1667,311,2,3,0
23-mar,367,826,1865,360,4,3,0
24-mar,405,1219,2161,397,5,3,0
25-mar,475,1656,2445,466,6,3,0
26-mar,585,2156,2965,574,8,3,0
27-mar,717,2475,3542,702,12,3,0
28-mar,848,2623,4341,829,16,3,0
29-mar,993,2564,4955,970,20,3,0
30-mar,1094,2752,5635,1063,28,3,9481
31-mar,1215,3511,6282,1183,29,3,11008
01-abr,1378,3827,7073,1338,37,3,12278
02-abr,1510,4653,7822,1457,50,3,13985
03-abr,1688,5398,8602,1625,60,3,15688
04-abr,1890,5827,9467,1808,79,3,17184
05-abr,2143,5209,10682,2046,94,3,18034
06-abr,2439,6295,11741,2311,125,3,20475
07-abr,2785,7526,15099,2641,141,3,25410
08-abr,3181,9188,17209,3004,174,3,29578
09-abr,3441,10105,17950,3244,194,3,31496
10-abr,3844,10300,19749,1997,233,1614,33893
11-abr,4219,9983,21277,2175,273,1771,35479
12-abr,4661,8697,21943,2522,296,1843,35594
13-abr,5014,9341,23040,2718,332,1964,37395
14-abr,5399,10792,23900,2868,406,2125,40091
15-abr,5847,11717,25138,3116,449,2282,42702
16-abr,6297,12340,26511,3360,486,2451,45148
17-abr,6875,13364,28126,3702,546,2627,48365
18-abr,7497,12369,27301,4220,650,2627,49167
19-abr,8261,10139,31170,4488,686,3087,49570
20-abr,8772,9653,32490,2965,712,5095,49570
21-abr,9501,8262,33871,3185,857,5459,49570
22-abr,10544,7706,33871,3618,970,5956,49570
23-abr,11633,7588,39664,4127,1069,6437,58885
24-abr,12872,7889,41573,4502,1221,7149,62334
25-abr,13842,8239,43419,4798,1305,7739,65500
26-abr,14677,7612,45346,4972,1351,8354,67635
27-abr,15529,8614,46960,5009,1434,9086,71103
