"","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29"
"Ags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,4,6,6,12,13,18,18,23
"BC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,8,11,13,13,14,19,20,20,23
"BCS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,6,6,8
"Camp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3
"CDMX",2,2,2,2,2,2,2,2,3,3,3,3,5,5,11,17,18,21,21,24,31,31,44,51,56,61,77,78,103,173,192
"Chih",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,5,5,5,5,5,5
"Chis",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,6,6,10
"Coah",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,9,11,11,11,12,13,14,31
"Col",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2
"Dgo",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4,5,5,5,5,5,5,7,7,7
"EdoMex",0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,9,10,10,10,14,14,21,21,21,25,45,69,84,118
"Gro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,4,5,6,7,7,7,10,13
"Gto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,7,12,19,23,31,37,37
"Hgo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,7,7,7,12,12,12,17
"Jal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,6,21,28,31,37,42,42,42,62,75,80,81
"Mich",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,10,11,16,17,17
"Mor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,6
"Nay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,5,5,5
"NL",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,13,14,18,19,29,32,35,40,52,52,57,64,64,67
"Oax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,4,4,7,8,11,12,14
"Pue",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,8,9,9,11,14,16,16,16,22,34,45,51,52,66
"Qro",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,6,6,6,8,10,13,13,15,15,17,20,22,24,25
"QRoo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,6,6,9,10,10,18,19,19,26,26,30,35
"Sin",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,8,9,14,19
"SLP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,7,7,9,12,16,16,17,18,19,20,24
"Son",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,4,4,4,7,8,10,14
"Tab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,5,6,6,6,17,21,27,33
"Tamps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,4,5,5,6,6,6,6,7
"Tlax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4
"Ver",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,7,7,7,7,7,17,23,24
"Yuc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,8,12,12,13,17,17,22,27,30,34,36,39
"Zac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,4,4,4,5
"TotalFecha",3,4,5,5,5,5,5,6,7,7,7,7,10,14,25,40,51,81,91,115,160,198,244,299,349,386,454,566,697,829,974
