Fecha,ConfirmadosAcum,SospechososAcum,NegativosAcum,FallecidosAcum,RecuperadosAcum,ActivosAcum,EstudiadosAcum
25-feb,0,0,18,0,0,0,0
26-feb,0,1,18,0,0,0,0
27-feb,0,1,22,0,0,0,0
28-feb,3,3,37,0,0,0,0
29-feb,4,8,46,0,0,0,0
01-mar,5,11,60,0,0,0,0
02-mar,5,21,69,0,0,0,0
03-mar,5,39,75,0,0,0,0
04-mar,5,26,112,0,0,0,0
05-mar,5,35,143,0,0,0,0
06-mar,6,36,163,0,0,0,0
07-mar,7,30,186,0,0,0,0
08-mar,7,24,201,0,0,0,0
09-mar,7,12,218,0,0,0,0
10-mar,7,37,234,0,0,0,0
11-mar,11,49,264,0,1,0,0
12-mar,15,82,298,0,1,0,0
13-mar,26,105,344,0,1,0,0
14-mar,41,155,404,0,2,0,0
15-mar,53,176,482,0,3,0,0
16-mar,82,171,579,0,3,0,0
17-mar,93,206,672,0,3,0,0
18-mar,118,314,787,0,3,0,0
19-mar,164,448,921,1,3,0,0
20-mar,203,606,1111,2,3,0,0
21-mar,251,697,1463,2,3,0,0
22-mar,316,793,1667,2,3,0,0
23-mar,367,826,1865,4,3,0,0
24-mar,405,1219,2161,5,3,0,0
25-mar,475,1656,2445,6,3,0,0
26-mar,585,2156,2965,8,3,0,0
27-mar,717,2475,3542,12,3,0,0
28-mar,848,2623,4341,16,3,0,0
29-mar,993,2564,4955,20,3,0,0
30-mar,1094,2752,5635,28,3,0,9481
31-mar,1215,3511,6282,29,3,0,11008
01-abr,1378,3827,7073,37,3,0,12278
02-abr,1510,4653,7822,50,3,0,13985
03-abr,1688,5398,8602,60,3,0,15688
04-abr,1890,5827,9467,79,3,0,17184
05-abr,2143,5209,10682,94,3,0,18034
06-abr,2439,6295,11741,125,3,0,20475
07-abr,2785,7526,15099,141,3,0,25410
08-abr,3181,9188,17209,174,3,0,29578
09-abr,3441,10105,17950,194,3,0,31496
10-abr,3844,10300,19749,233,3,0,33893
11-abr,4219,9983,21277,273,3,0,35479
12-abr,4661,8697,21943,296,1843,0,35594
13-abr,5014,9341,23040,332,1964,0,37395
14-abr,5399,10792,23900,406,2125,0,40091
15-abr,5847,11717,25138,449,2282,0,42702
16-abr,6297,12340,26511,486,2451,0,45148
17-abr,6875,13364,28126,546,2627,0,48365
18-abr,7497,12369,27301,650,2627,0,49167
19-abr,8261,10139,31170,686,3087,0,49570
20-abr,8772,9653,32490,712,3087,2965,49570
21-abr,9501,8262,33871,857,3087,3185,49570
22-abr,10544,7706,33871,970,3087,3618,49570
23-abr,11633,7588,39664,1069,3087,4127,58885
24-abr,12872,7889,41573,1221,3087,4502,62334
