"Fecha","Negativos","Sospechosos","Confirmados","Muertos","Recuperados","ConfirmadosAcum"
"25-feb",18,0,NA,NA,NA,NA
"26-feb",18,1,NA,NA,NA,NA
"27-feb",22,1,0,NA,NA,0
"28-feb",37,3,3,NA,NA,3
"29-feb",46,8,4,NA,NA,7
"01-mar",60,11,5,NA,NA,12
"02-mar",69,21,5,NA,NA,17
"03-mar",75,39,5,NA,NA,22
"04-mar",112,26,5,NA,NA,27
"05-mar",143,35,5,NA,NA,32
"06-mar",163,36,6,NA,NA,38
"07-mar",186,30,7,NA,NA,45
"08-mar",201,24,7,NA,NA,52
"09-mar",218,12,7,NA,NA,59
"10-mar",234,37,7,NA,0,66
"11-mar",264,49,11,NA,1,77
"12-mar",298,82,15,NA,1,92
"13-mar",344,105,26,NA,1,118
"14-mar",404,155,41,NA,2,159
"15-mar",482,176,53,NA,3,212
"16-mar",579,171,82,NA,3,294
"17-mar",672,206,93,NA,3,387
