"Fecha","InicioSintomas","Reporte"
2020-01-13,1,NA
2020-01-14,0,NA
2020-01-15,0,NA
2020-01-16,0,NA
2020-01-17,0,NA
2020-01-18,0,NA
2020-01-19,0,NA
2020-01-20,0,NA
2020-01-21,0,NA
2020-01-22,0,NA
2020-01-23,0,NA
2020-01-24,0,NA
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,0,NA
2020-01-28,0,NA
2020-01-29,1,NA
2020-01-30,0,NA
2020-01-31,0,NA
2020-02-01,0,NA
2020-02-02,0,NA
2020-02-03,0,NA
2020-02-04,0,NA
2020-02-05,0,NA
2020-02-06,1,NA
2020-02-07,0,NA
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,0,NA
2020-02-11,0,NA
2020-02-12,0,NA
2020-02-13,0,NA
2020-02-14,0,NA
2020-02-15,0,NA
2020-02-16,0,NA
2020-02-17,0,NA
2020-02-18,0,NA
2020-02-19,1,NA
2020-02-20,0,NA
2020-02-21,1,NA
2020-02-22,2,NA
2020-02-23,1,NA
2020-02-24,0,NA
2020-02-25,1,NA
2020-02-26,1,NA
2020-02-27,2,NA
2020-02-28,2,3
2020-02-29,2,1
2020-03-01,6,1
2020-03-02,8,0
2020-03-03,6,0
2020-03-04,7,0
2020-03-05,7,0
2020-03-06,10,1
2020-03-07,21,1
2020-03-08,21,0
2020-03-09,62,0
2020-03-10,50,0
2020-03-11,51,4
2020-03-12,60,4
2020-03-13,87,11
2020-03-14,91,15
2020-03-15,100,12
2020-03-16,133,29
2020-03-17,110,11
2020-03-18,124,25
2020-03-19,112,46
2020-03-20,182,39
2020-03-21,130,48
2020-03-22,141,65
2020-03-23,222,51
2020-03-24,181,38
2020-03-25,210,70
2020-03-26,247,110
2020-03-27,289,132
2020-03-28,271,131
2020-03-29,263,145
2020-03-30,382,101
2020-03-31,308,121
2020-04-01,462,163
2020-04-02,437,132
2020-04-03,443,178
2020-04-04,452,202
2020-04-05,430,253
2020-04-06,580,296
2020-04-07,512,346
2020-04-08,626,396
2020-04-09,625,260
2020-04-10,962,403
2020-04-11,723,375
2020-04-12,775,442
2020-04-13,963,353
2020-04-14,910,385
2020-04-15,1044,448
2020-04-16,1030,450
2020-04-17,1163,578
2020-04-18,1265,622
2020-04-19,1144,764
2020-04-20,1851,511
2020-04-21,1206,729
2020-04-22,1254,1043
2020-04-23,1305,1089
2020-04-24,1551,1239
2020-04-25,1611,970
2020-04-26,1436,835
2020-04-27,1764,852
2020-04-28,1561,1223
2020-04-29,1411,1047
2020-04-30,1952,1425
2020-05-01,2651,1515
2020-05-02,1914,1349
2020-05-03,1820,1383
2020-05-04,2309,1434
2020-05-05,2334,1120
2020-05-06,2085,1609
2020-05-07,2328,1982
2020-05-08,2700,1906
2020-05-09,2382,1938
2020-05-10,3225,1562
2020-05-11,2988,1305
2020-05-12,2690,1997
2020-05-13,2636,1862
2020-05-14,2650,2409
2020-05-15,3904,2437
2020-05-16,2980,2112
2020-05-17,2852,2075
2020-05-18,4099,2414
2020-05-19,3197,2713
2020-05-20,4362,2248
2020-05-21,3013,2973
2020-05-22,3824,2960
2020-05-23,3529,3329
2020-05-24,3308,2764
2020-05-25,4991,2485
2020-05-26,3662,3455
2020-05-27,3502,3463
2020-05-28,3978,3377
2020-05-29,4018,3227
2020-05-30,3875,2885
2020-05-31,3629,3152
2020-06-01,6577,2771
2020-06-02,4102,3891
2020-06-03,4053,3912
2020-06-04,4221,4442
2020-06-05,5208,4346
2020-06-06,4908,3593
2020-06-07,4162,3484
2020-06-08,5528,2999
2020-06-09,4492,4199
2020-06-10,6036,4883
2020-06-11,4367,4790
2020-06-12,5120,5222
2020-06-13,4556,3494
2020-06-14,4421,4147
2020-06-15,6788,3427
2020-06-16,5116,4599
2020-06-17,4404,4930
2020-06-18,5388,5662
2020-06-19,5493,5030
2020-06-20,7072,4717
2020-06-21,4531,5343
2020-06-22,5758,4577
2020-06-23,4991,6288
2020-06-24,4914,5437
2020-06-25,5819,6104
2020-06-26,6305,5441
2020-06-27,4943,4410
2020-06-28,5926,4050
2020-06-29,6206,3805
2020-06-30,6057,5432
2020-07-01,7722,5681
2020-07-02,5663,6741
2020-07-03,5996,6740
2020-07-04,5300,6914
2020-07-05,5674,4683
2020-07-06,6299,4902
2020-07-07,5670,6258
2020-07-08,5131,6995
2020-07-09,5222,7280
2020-07-10,7957,6891
2020-07-11,5125,6094
2020-07-12,5331,4482
2020-07-13,6321,4685
2020-07-14,5100,7051
2020-07-15,6054,6149
2020-07-16,4678,6406
2020-07-17,5030,7257
2020-07-18,4667,7615
2020-07-19,3839,5311
2020-07-20,4365,5172
2020-07-21,2454,6859
2020-07-22,1853,6019
2020-07-23,1279,8438
2020-07-24,740,7573
2020-07-25,455,6751
2020-07-26,190,5480
2020-07-27,71,4973
2020-07-28,10,7208
2020-07-29,0,5752
