"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",247,0.54,4004,6.17
"BC",2572,5.67,13113,19.61
"BCS",157,0.35,4037,3.89
"Camp",463,1.02,4495,10.3
"CDMX",8828,19.46,86789,10.17
"Chih",872,1.92,5052,17.26
"Chis",890,1.96,5481,16.24
"Coah",595,1.31,12187,4.88
"Col",195,0.43,1720,11.34
"Dgo",272,0.6,3812,7.14
"EdoMex",6264,13.81,36696,17.07
"Gro",1361,3,10188,13.36
"Gto",923,2.03,19637,4.7
"Hgo",1008,2.22,6391,15.77
"Jal",1478,3.26,12593,11.74
"Mich",710,1.57,9401,7.55
"Mor",835,1.84,3767,22.17
"Nay",371,0.82,3269,11.35
"NL",982,2.16,16219,6.05
"Oax",899,1.98,9995,8.99
"Pue",2336,5.15,19556,11.95
"Qro",463,1.02,3617,12.8
"QRoo",956,2.11,7350,13.01
"Sin",2103,4.64,12470,16.86
"SLP",429,0.95,8709,4.93
"Son",1879,4.14,17342,10.83
"Tab",1928,4.25,20767,9.28
"Tamps",953,2.1,14333,6.65
"Tlax",654,1.44,3964,16.5
"Ver",2665,5.88,19919,13.38
"Yuc",841,1.85,9141,9.2
"Zac",232,0.51,2435,9.53
"Nacional",45361,99.99,408449,11.11
