"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",522,0.96,1434635,36.39
"BC",3531,6.5,3634868,97.14
"BCS",465,0.86,804708,57.78
"Camp",407,0.75,1000617,40.67
"CDMX",18279,33.63,9018645,202.68
"Chih",959,1.76,3801487,25.23
"Chis",714,1.31,5730367,12.46
"Coah",710,1.31,3218720,22.06
"Col",74,0.14,785153,9.42
"Dgo",176,0.32,1868996,9.42
"EdoMex",6034,11.1,17427790,34.62
"Gro",861,1.58,3657048,23.54
"Gto",804,1.48,6228175,12.91
"Hgo",960,1.77,3086414,31.1
"Jal",927,1.71,8409693,11.02
"Mich",1063,1.96,4825401,22.03
"Mor",1073,1.97,2044058,52.49
"Nay",320,0.59,1288571,24.83
"NL",963,1.77,5610153,17.17
"Oax",682,1.25,4143593,16.46
"Pue",1624,2.99,6604451,24.59
"Qro",537,0.99,2279637,23.56
"QRoo",1355,2.49,1723259,78.63
"Sin",2088,3.84,3156674,66.15
"SLP",498,0.92,2866142,17.38
"Son",927,1.71,3074745,30.15
"Tab",2543,4.68,2572287,98.86
"Tamps",1064,1.96,3650602,29.15
"Tlax",636,1.17,1380011,46.09
"Ver",2154,3.96,8539862,25.22
"Yuc",1199,2.21,2259098,53.07
"Zac",197,0.36,1666426,11.82
"Nacional",54346,100,127792286,42.53
